Year,Month,ProductID,ManufacturingCost
2005           ,1              ,1              ,572520         
2005           ,1              ,2              ,2070000        
2005           ,1              ,4              ,2831725        
2005           ,1              ,5              ,1235050        
2005           ,1              ,6              ,3114294        
2005           ,1              ,7              ,1722474        
2005           ,1              ,8              ,1549505        
2005           ,1              ,10             ,2320765        
2005           ,1              ,11             ,1226700        
2005           ,1              ,12             ,2093898        
2005           ,1              ,15             ,1230369        
2005           ,1              ,16             ,1016379        
2005           ,1              ,18             ,350672         
2005           ,1              ,19             ,3198744        
2005           ,1              ,20             ,1524796        
2005           ,1              ,21             ,1255112        
2005           ,1              ,22             ,516880         
2005           ,1              ,23             ,485496         
2005           ,1              ,24             ,1748455        
2005           ,1              ,26             ,1536473        
2005           ,1              ,27             ,1852200        
2005           ,1              ,28             ,575679         
2005           ,1              ,30             ,2124682        
2005           ,1              ,31             ,2786400        
2005           ,1              ,33             ,1910415        
2005           ,1              ,34             ,1427426        
2005           ,1              ,35             ,854565         
2005           ,1              ,36             ,2448683        
2005           ,1              ,37             ,2838653        
2005           ,1              ,39             ,1060307        
2005           ,1              ,40             ,1329930        
2005           ,1              ,42             ,3431912        
2005           ,1              ,43             ,2189712        
2005           ,2              ,1              ,980280         
2005           ,2              ,2              ,1039000        
2005           ,2              ,4              ,1674075        
2005           ,2              ,5              ,765510         
2005           ,2              ,6              ,4037286        
2005           ,2              ,7              ,1645020        
2005           ,2              ,8              ,1610350        
2005           ,2              ,10             ,1894785        
2005           ,2              ,11             ,1300490        
2005           ,2              ,12             ,2187786        
2005           ,2              ,15             ,896793         
2005           ,2              ,16             ,592722         
2005           ,2              ,18             ,711424         
2005           ,2              ,19             ,2777838        
2005           ,2              ,20             ,1191736        
2005           ,2              ,21             ,860851         
2005           ,2              ,22             ,452985         
2005           ,2              ,23             ,498384         
2005           ,2              ,24             ,1740020        
2005           ,2              ,26             ,1231147        
2005           ,2              ,27             ,2314956        
2005           ,2              ,28             ,569328         
2005           ,2              ,30             ,1703891        
2005           ,2              ,31             ,3624400        
2005           ,2              ,33             ,1602870        
2005           ,2              ,34             ,1399650        
2005           ,2              ,35             ,857785         
2005           ,2              ,36             ,2277721        
2005           ,2              ,37             ,2211288        
2005           ,2              ,39             ,550475         
2005           ,2              ,40             ,1503810        
2005           ,2              ,42             ,2455816        
2005           ,2              ,43             ,2116464        
2005           ,3              ,1              ,639360         
2005           ,3              ,2              ,974000         
2005           ,3              ,4              ,2473575        
2005           ,3              ,5              ,1499570        
2005           ,3              ,6              ,3763926        
2005           ,3              ,7              ,1504152        
2005           ,3              ,8              ,1689040        
2005           ,3              ,10             ,1850830        
2005           ,3              ,11             ,2097845        
2005           ,3              ,12             ,2263744        
2005           ,3              ,15             ,855342         
2005           ,3              ,16             ,1302795        
2005           ,3              ,18             ,1181040        
2005           ,3              ,19             ,3454686        
2005           ,3              ,20             ,1208116        
2005           ,3              ,21             ,1225516        
2005           ,3              ,22             ,514150         
2005           ,3              ,23             ,498744         
2005           ,3              ,24             ,2021267        
2005           ,3              ,26             ,2254819        
2005           ,3              ,27             ,2893254        
2005           ,3              ,28             ,592644         
2005           ,3              ,30             ,2232265        
