invoiceID,prodID,amt,qty
1,22,268,4
1,26,323,17
1,41,348,8
2,11,63,19
2,12,295,16
2,19,373,3
2,30,148,11
2,33,190,7
2,34,383,14
3,24,343,9
3,26,121,17
3,29,258,9
3,47,328,11
3,48,345,6
4,3,123,13
4,6,268,6
4,14,59,13
4,33,141,15
4,44,229,2
5,3,262,6
5,17,21,10
5,20,27,12
5,21,244,13
5,25,338,10
5,29,265,2
5,36,302,17
5,46,118,18
6,4,96,6
6,25,332,17
6,39,315,14
7,14,283,19
7,16,51,13
7,17,66,11
7,19,229,17
7,28,43,10
7,46,328,2
8,13,70,20
8,27,96,10
8,29,337,6
8,32,186,16
9,14,245,7
9,19,372,9
9,21,299,15
9,22,245,18
9,32,114,12
10,8,367,13
10,27,347,17
10,29,273,4
10,33,116,8
10,39,138,6
11,1,323,18
11,9,30,11
11,21,325,12
11,22,329,7
11,27,55,20
11,39,114,10
12,15,127,16
12,32,23,9
12,34,343,5
12,39,231,14
12,43,339,8
12,45,272,2
13,6,71,2
13,13,30,8
13,15,243,18
13,20,245,4
13,26,363,13
13,35,73,5
13,36,159,13
13,39,48,6
13,44,376,3
14,4,96,5
14,8,269,6
14,9,50,15
14,21,360,10
14,33,199,14
14,39,281,11
15,17,211,18
15,18,329,6
15,24,320,12
15,30,181,11
15,31,118,7
15,39,116,2
16,22,299,5
16,26,369,14
16,29,357,5
16,34,315,18
16,47,129,3
17,5,260,17
17,6,177,12
17,20,319,5
17,26,359,20
17,32,279,14
17,40,203,20
18,2,306,18
18,11,89,3
18,14,46,3
18,27,399,18
18,31,319,4
19,2,22,13
19,19,39,11
19,28,85,8
19,38,279,11
20,1,378,2
20,4,118,15
20,16,27,9
20,24,216,14
20,32,83,7
21,3,69,20
21,5,119,12
21,10,123,18
21,13,38,4
21,30,141,8
21,34,122,15
21,40,307,8
22,2,22,2
22,8,171,17
22,19,215,2
22,25,71,20
23,11,134,6
23,27,395,12
23,45,88,6
24,11,101,20
24,39,24,11
24,46,210,13
25,7,196,18
25,17,152,6
25,18,267,7
25,19,328,4
25,23,264,11
25,32,123,11
25,36,140,12
25,37,240,5
25,45,314,5
25,47,98,3
26,5,166,16
26,27,342,11
26,30,90,12
26,31,317,8
27,4,296,20
27,14,138,11
27,17,34,12
27,21,139,7
27,28,93,9
27,36,203,5
27,47,212,2
28,1,150,14
28,15,86,14
28,22,127,5
28,31,399,8
28,39,249,10
28,42,96,9
29,3,151,15
29,7,212,11
29,17,227,11
29,35,78,5
29,45,196,11
30,12,144,5
30,22,262,15
30,32,27,17
31,4,190,3
31,28,140,17
31,43,117,18
31,44,35,8
32,5,248,2
32,31,190,10
32,40,32,3
32,41,82,16
32,47,68,6
33,14,288,11
33,45,330,15
34,7,374,12
34,12,180,12
34,14,359,12
34,20,65,17
34,33,224,4
34,48,266,4
35,1,229,5
35,3,258,4
35,4,316,3
35,25,232,13
35,26,374,13
35,31,115,3
36,4,361,5
36,22,380,6
36,28,84,14
36,29,52,11
36,31,169,17
36,40,239,15
36,48,316,8
37,10,306,4
37,27,289,13
37,30,30,20
37,38,223,10
37,41,232,2
38,16,52,5
38,23,66,18
38,34,26,16
38,38,329,13
39,5,351,12
39,7,275,6
39,12,297,3
39,25,227,10
39,27,189,16
39,34,261,11
39,45,296,18
39,48,248,3
40,15,52,12
40,20,54,5
40,28,342,19
40,31,210,6
40,42,120,16
41,5,138,13
41,6,299,18
41,7,379,5
41,26,363,3
41,34,161,7
42,5,178,9
42,31,349,13
42,33,204,14
42,35,191,7
43,1,248,20
43,12,232,2
43,27,341,15
43,33,69,11
44,24,301,17
44,41,380,4
44,45,224,14
44,48,26,16
45,6,388,5
45,11,359,7
45,15,145,5
45,19,233,17
45,23,216,13
45,47,382,12
46,1,344,18
46,6,56,11
46,11,269,9
46,15,335,14
46,31,44,15
46,42,34,12
46,44,354,15
46,48,21,10
47,23,224,9
47,46,93,13
48,2,190,8
48,10,227,13
48,13,179,8
48,29,247,11
48,35,374,11
48,41,386,10
49,2,264,8
49,16,183,6
49,21,74,2
49,30,287,18
50,1,118,18
50,14,282,16
50,19,248,14
50,30,378,13
50,31,343,10
50,40,115,19
51,25,67,18
51,26,35,16
51,29,281,11
51,36,362,11
51,43,149,15
51,44,257,14
52,7,222,15
52,27,190,12
53,10,169,12
53,25,100,6
53,44,393,13
53,47,337,13
54,5,164,5
54,12,261,3
54,24,393,3
54,27,56,11
55,25,113,11
55,29,217,12
55,33,46,12
55,39,55,7
55,47,176,13
55,48,305,14
56,9,186,8
56,12,169,3
56,19,272,3
56,21,236,18
56,27,119,17
56,29,290,14
56,40,57,17
57,3,195,8
57,25,129,17
57,33,145,6
58,4,288,12
58,24,77,2
58,34,156,6
59,9,183,10
60,25,302,18
60,30,73,17
60,48,34,19
61,6,220,18
62,6,366,6
62,9,372,14
62,36,31,15
63,4,38,9
63,14,238,2
63,30,343,17
64,11,198,9
64,12,316,2
64,18,255,17
64,19,346,12
65,20,93,8
65,23,283,16
65,28,184,14
65,30,136,16
66,13,40,20
66,34,235,13
67,1,235,5
67,11,212,6
67,29,278,12
67,34,240,6
67,36,361,13
67,40,364,3
68,3,331,8
68,35,250,7
69,4,123,10
69,16,380,14
69,21,292,6
69,30,43,16
69,46,115,15
70,1,174,14
70,7,286,2
70,12,249,12
70,27,238,8
70,34,114,2
71,9,261,14
71,26,325,2
71,47,59,7
71,48,354,7
72,9,327,10
72,16,337,7
72,29,182,6
72,30,132,7
72,43,360,18
72,45,22,10
72,47,400,2
73,12,58,2
73,17,46,4
73,22,194,4
73,43,63,11
73,47,223,19
74,6,242,7
74,21,259,14
74,45,227,20
75,6,253,8
75,9,48,10
75,10,291,10
75,33,38,6
75,37,276,3
75,46,60,6
75,48,40,11
76,14,61,18
76,16,176,5
76,34,92,14
77,7,318,8
77,9,163,16
77,11,85,5
77,12,274,7
77,19,135,2
77,29,332,12
77,35,302,5
77,36,74,16
78,9,257,5
78,11,352,9
78,37,305,3
78,42,293,8
78,47,138,12
79,8,173,16
79,14,349,7
79,29,291,8
79,33,40,15
80,3,125,17
80,9,87,3
80,24,141,20
80,28,217,8
80,36,400,16
80,38,180,11
80,48,196,8
81,11,106,15
81,18,226,12
81,37,386,3
81,42,284,16
82,27,138,4
82,30,333,18
82,41,393,12
83,13,79,5
83,17,239,19
83,23,242,15
84,4,223,15
84,16,198,7
84,17,301,8
84,19,318,20
85,16,120,18
85,21,321,12
85,23,329,6
85,34,356,2
86,27,292,19
86,48,135,20
87,3,88,11
87,6,51,6
87,18,163,9
87,20,106,9
87,37,90,11
87,48,56,18
88,17,186,20
88,28,375,2
88,47,135,14
89,3,238,13
89,5,149,19
89,10,321,2
89,12,303,3
89,17,71,12
89,21,80,3
89,38,128,18
90,17,388,14
90,27,255,11
90,29,97,8
90,42,77,11
91,11,248,2
91,28,23,11
91,32,206,12
91,34,85,12
91,38,210,15
91,40,197,5
92,7,49,6
92,16,54,14
92,22,84,18
92,32,64,11
92,42,359,8
93,6,240,20
93,23,32,10
93,30,184,15
93,35,256,19
94,8,155,12
94,22,384,3
94,46,393,8
94,48,289,14
95,10,58,4
95,18,371,14
95,24,283,19
95,34,72,20
95,44,196,20
96,6,327,6
96,8,212,10
96,13,368,6
96,17,106,6
96,18,84,12
96,34,238,2
96,37,309,12
97,27,138,10
97,31,297,10
97,32,48,7
98,2,173,6
98,30,323,6
98,34,291,19
98,36,183,14
99,27,398,9
99,28,217,16
100,11,74,18
100,22,87,13
100,25,309,6
100,27,43,20
100,33,266,5
100,42,283,15
101,7,378,16
101,16,102,14
101,28,35,5
101,34,319,16
101,39,292,9
102,7,144,10
103,17,21,6
103,25,235,2
103,28,158,12
103,40,310,8
103,41,365,8
103,43,285,17
104,3,289,17
104,18,326,5
104,20,42,9
104,44,255,8
105,28,371,15
105,47,349,5
105,48,361,15
106,1,255,7
106,25,287,10
106,26,109,17
106,28,398,2
106,41,313,14
106,48,324,20
107,7,207,2
107,13,313,7
107,16,397,9
107,37,245,15
107,39,203,14
108,7,53,15
