Product_SK,PEC_ProductID,TPCE_ProductID,TPCW_ProductID,ProductName,ProductType_ID,ProductDescription,Price1,Price2,UnitCost,BU_ID,BU_Name,BU_Abbrev,VersionNum,EffectiveDate,ExpirationDate
-1,,,,,,,,,,,,,1,1/1/2000,1/2/2020
1,,56,56,Allis Polishing Equipment,3,Polishing Equipment,201.77,176.35,160.48,A,Processing Equipment,Equipment,1,1/2/2000,1/3/2020
2,18,,,Allis Polishing Equipment,3,Polishing Equipment,201.77,176.35,267,A,Processing Equipment,Equipment,1,1/3/2000,1/4/2020
3,,72,72,Anthem Tray Supplies,8,Tray Supplies,134.92,112.39,109.02,B,Disposable Supplies,Supplies,1,1/4/2000,1/5/2020
4,25,5,5,Automobiles Fillers,12,Fillers,283.83,227.63,218.52,D,Miscellaneous,,1,1/5/2000,1/6/2020
5,,24,24,Bandage Manufacturing Equipment,2,Manufacturing Equipment,298,267.01,253.66,A,Processing Equipment,Equipment,1,1/6/2000,1/7/2020
6,7,,,Bandage Manufacturing Equipment,2,Manufacturing Equipment,298,267.01,557,A,Processing Equipment,Equipment,1,1/7/2000,1/8/2020
7,,98,98,Barrels Flushing Chemicals,10,Flushing Chemicals,135.1,116.59,108.43,C,Chemicals,Chemicals,1,1/8/2000,1/9/2020
8,,92,92,Behind Tray Supplies,8,Tray Supplies,166.65,138.99,129.26,B,Disposable Supplies,Supplies,1,1/9/2000,1/10/2020
9,,94,94,Beliefs Freezing Chemicals,11,Freezing Chemicals,566.64,483.91,454.88,C,Chemicals,Chemicals,1,1/10/2000,1/11/2020
10,,93,93,Bellowing Polishing Equipment,3,Polishing Equipment,502.57,451.31,446.8,A,Processing Equipment,Equipment,1,1/11/2000,1/12/2020
11,31,,,Bellowing Polishing Equipment,3,Polishing Equipment,502.57,451.31,954,A,Processing Equipment,Equipment,1,1/12/2000,1/13/2020
12,,64,64,Berwick Fillers,12,Fillers,583.85,487.51,463.13,D,Miscellaneous,,1,1/13/2000,1/14/2020
13,,44,44,Birthdays Manufacturing Equipment,2,Manufacturing Equipment,196.56,173.17,161.05,A,Processing Equipment,Equipment,1,1/14/2000,1/15/2020
14,35,,,Birthdays Manufacturing Equipment,2,Manufacturing Equipment,196.56,173.17,282,A,Processing Equipment,Equipment,1,1/15/2000,1/16/2020
15,,43,43,Blazed Covers,13,Covers,495,416.79,404.29,D,Miscellaneous,,1,1/16/2000,1/17/2020
16,,29,29,Bluest Fillers,12,Fillers,507.35,428.2,398.23,D,Miscellaneous,,1,1/17/2000,1/18/2020
17,,36,36,Bomber Photo Equipment,1,Photo Equipment,461.34,400.44,380.42,A,Processing Equipment,Equipment,1,1/18/2000,1/19/2020
18,43,,,Bomber Photo Equipment,1,Photo Equipment,461.34,400.44,780,A,Processing Equipment,Equipment,1,1/19/2000,1/20/2020
19,,55,55,Bumblers Plastic Supplies,7,Plastic Supplies,545.31,466.24,447.59,B,Disposable Supplies,Supplies,1,1/20/2000,1/21/2020
20,,42,42,Carelessly Freezing Chemicals,11,Freezing Chemicals,559.67,467.88,425.77,C,Chemicals,Chemicals,1,1/21/2000,1/22/2020
21,,25,25,Chalmers Polishing Equipment,3,Polishing Equipment,289.17,242.61,223.2,A,Processing Equipment,Equipment,1,1/22/2000,1/23/2020
22,8,,,Chalmers Polishing Equipment,3,Polishing Equipment,289.17,242.61,513,A,Processing Equipment,Equipment,1,1/23/2000,1/24/2020
23,,58,58,Characterization Plastic Supplies,7,Plastic Supplies,231.68,185.58,168.88,B,Disposable Supplies,Supplies,1,1/24/2000,1/25/2020
24,,32,32,Chartable Photo Equipment,1,Photo Equipment,410.17,347.41,312.67,A,Processing Equipment,Equipment,1,1/25/2000,1/26/2020
25,10,,,Chartable Photo Equipment,9,Photo Chemicals,410.17,347.41,706,C,Chemicals,Chemicals,1,1/26/2000,1/27/2020
26,,35,35,Chromium Photo Equipment,1,Photo Equipment,565.5,457.49,425.47,A,Processing Equipment,Equipment,1,1/27/2000,1/28/2020
27,12,,,Chromium Photo Equipment,1,Photo Equipment,565.5,457.49,785,A,Processing Equipment,Equipment,1,1/28/2000,1/29/2020
28,38,7,7,Commendation Fillers,12,Fillers,436.33,380.04,364.84,D,Miscellaneous,,1,1/29/2000,1/30/2020
29,42,,,Concentrators Polishing Equipment,3,Polishing Equipment,584.57,524.94,1112,A,Processing Equipment,Equipment,1,1/30/2000,1/31/2020
30,,37,37,Concentrators Polishing Equipment,3,Polishing Equipment,584.57,524.94,482.94,A,Processing Equipment,Equipment,1,1/31/2000,2/1/2020
31,,41,41,Consideration Tray Supplies,8,Tray Supplies,172.56,146.85,139.51,B,Disposable Supplies,Supplies,1,2/1/2000,2/2/2020
32,,33,33,Consumable Tray Supplies,8,Tray Supplies,395.7,347.42,337,B,Disposable Supplies,Supplies,1,2/2/2000,2/3/2020
33,,73,73,Cosgrove Jacks,15,Jacks,298.87,267.79,254.4,D,Miscellaneous,,1,2/3/2000,2/4/2020
34,,61,61,Courthouses Manufacturing Equipment,2,Manufacturing Equipment,285.62,243.63,231.45,A,Processing Equipment,Equipment,1,2/4/2000,2/5/2020
35,20,,,Courthouses Manufacturing Equipment,2,Manufacturing Equipment,285.62,243.63,436,A,Processing Equipment,Equipment,1,2/5/2000,2/6/2020
36,13,13,13,Coward Covers,13,Covers,429.79,348.99,328.05,D,Miscellaneous,,1,2/6/2000,2/7/2020
37,,90,90,Curiouser Cleaning Supplies,5,Cleaning Supplies,419.36,364.42,338.91,B,Disposable Supplies,Supplies,1,2/7/2000,2/8/2020
38,,23,23,Decided Tray Supplies,8,Tray Supplies,233.3,202.27,198.22,B,Disposable Supplies,Supplies,1,2/8/2000,2/9/2020
39,9,10,10,Defeated Tray Supplies,8,Tray Supplies,559.74,476.9,448.29,B,Disposable Supplies,Supplies,1,2/9/2000,2/10/2020
40,,75,75,Deferrable Freezing Chemicals,11,Freezing Chemicals,145.03,124.44,113.24,C,Chemicals,Chemicals,1,2/10/2000,2/11/2020
41,,21,21,Denigrating Polishing Equipment,3,Polishing Equipment,565.95,454.46,427.19,A,Processing Equipment,Equipment,1,2/11/2000,2/12/2020
42,6,,,Denigrating Polishing Equipment,3,Polishing Equipment,565.95,454.46,952,A,Processing Equipment,Equipment,1,2/12/2000,2/13/2020
43,,30,30,Detectives Jacks,15,Jacks,283.32,248.47,236.05,D,Miscellaneous,,1,2/13/2000,2/14/2020
